University,Univ_Rank,Enrollment,Avg_SAT,Avg_ACT,city,state,Latitude,Longitude,univ_rank,enrollment,avg_sat,avg_act,latitude,longitude
Texas A&M University--Corpus Christi,-1.0,10212.0,850.0,17.0,Corpus Christi,TX,27.726,-97.3755,,,,,,
Texas A&M University--Kingsville,-1.0,6811.0,850.0,17.0,Kingsville,TX,27.5094,-97.8611,,,,,,
Texas Southern University,-1.0,6562.0,715.0,15.0,Houston,TX,29.7863,-95.3889,,,,,,
Texas State University,-1.0,34244.0,930.0,20.0,San Marcos,TX,29.8736,-97.9381,,,,,,
Texas Woman's University,-1.0,10408.0,820.0,17.0,Denton,TX,33.2176,-97.1419,,,,,,
Trevecca Nazarene University,-1.0,2092.0,930.0,19.0,Nashville,TN,36.1715,-86.7843,,,,,,
Trinity International University,-1.0,1076.0,880.0,19.0,Deerfield,IL,42.1654,-87.8516,,,,,,
University of Akron,-1.0,17416.0,910.0,19.0,Akron,OH,41.0798,-81.5219,,,,,,
University of Arkansas--Little Rock,-1.0,9374.0,930.0,19.0,Little Rock,AR,34.7256,-92.3576,,,,,,
University of Louisiana--Lafayette,-1.0,15998.0,940.0,21.0,Lafayette,LA,30.2084,-92.0323,,,,,,
University of Louisiana--Monroe,-1.0,7778.0,920.0,19.0,Monroe,LA,32.5183,-92.0774,,,,,,
University of Maryland--Eastern Shore,-1.0,3278.0,790.0,17.0,Princess Anne,MD,38.2054,-75.6969,,,,,,
University of Memphis,-1.0,17176.0,890.0,19.0,Memphis,TN,35.1046,-89.9773,,,,,,
University of Missouri--St. Louis,-1.0,13923.0,940.0,21.0,St. Louis,MO,38.6358,-90.2451,,,,,,
University of Nebraska--Omaha,-1.0,12536.0,930.0,19.0,Omaha,NE,41.2627,-96.0522,,,,,,
University of Nevada--Las Vegas,-1.0,24714.0,900.0,19.0,Las Vegas,NV,36.2333,-115.2654,,,,,,
University of New Orleans,-1.0,6442.0,950.0,20.0,New Orleans,LA,30.0687,-89.9288,,,,,,
University of North Carolina--Greensboro,-1.0,16281.0,910.0,21.0,Greensboro,NC,36.0956,-79.8269,,,,,,
University of Northern Colorado,-1.0,9503.0,930.0,19.0,Greeley,CO,40.4151,-104.7706,,,,,,
University of North Texas,-1.0,31209.0,980.0,20.0,Denton,TX,33.2176,-97.1419,,,,,,
University of South Alabama,-1.0,11761.0,875.0,20.0,Mobile,AL,30.6783,-88.1162,,,,,,
University of Southern Mississippi,-1.0,11779.0,940.0,20.0,Hattiesburg,MS,31.3074,-89.317,,,,,,
University of Texas--Arlington,-1.0,32775.0,950.0,20.0,Arlington,TX,32.6998,-97.125,,,,,,
University of Texas--El Paso,-1.0,20521.0,810.0,17.0,El Paso,TX,31.8479,-106.4309,,,,,,
University of Texas--Rio Grande Valley,-1.0,24433.0,850.0,18.0,Edinburg,TX,26.3197,-98.1596,,,,,,
University of Texas--San Antonio,-1.0,24724.0,920.0,20.0,San Antonio,TX,29.4658,-98.5253,,,,,,
University of the Cumberlands,-1.0,3082.0,860.0,19.0,Williamsburg,KY,36.7392,-84.1647,,,,,,
University of Toledo,-1.0,16247.0,920.0,20.0,Toledo,OH,41.6639,-83.5822,,,,,,
University of West Florida,-1.0,10082.0,930.0,21.0,Pensacola,FL,30.4427,-87.1886,,,,,,
University of West Georgia,-1.0,11155.0,870.0,18.0,Carrollton,GA,33.5817,-85.0837,,,,,,
University of Wisconsin--Milwaukee,-1.0,21375.0,,20.0,Milwaukee,WI,43.0642,-87.9673,,,,,,
Valdosta State University,-1.0,8780.0,890.0,19.0,Valdosta,GA,30.8502,-83.2788,,,,,,
Wichita State University,-1.0,11823.0,915.0,21.0,Wichita,KS,37.6896,-97.3442,,,,,,
Wright State University,-1.0,12504.0,930.0,18.0,Dayton,OH,39.7797,-84.1998,,,,,,
Alliant International University,-2.0,1264.0,,,San Diego,CA,32.8312,-117.1225,,,,,,
Argosy University,-2.0,,,,Orange,CA,33.8038,-117.8218,,,,,,
California Institute of Integral Studies,-2.0,,,,San Francisco,CA,37.7562,-122.443,,,,,,
Capella University,-2.0,,,,Minneapolis,MN,44.9635,-93.2678,,,,,,
Idaho State University,-2.0,,,,Pocatello,ID,42.8724,-112.4646,,,,,,
Northcentral University,-2.0,133.0,,,San Diego,AZ,33.5855,-112.1252,,,,,,
Trident University International,-2.0,,,,Cypress,CA,33.8171,-118.0386,,,,,,
Union Institute and University,-2.0,,,,Cincinnati,OH,39.1413,-84.5061,,,,,,
University of Phoenix,-2.0,,,,Phoenix,AZ,33.5722,-112.0891,,,,,,
Walden University,-2.0,,,,Minneapolis,MN,44.9635,-93.2678,,,,,,
Wilmington University,-2.0,8873.0,,,New Castle,DE,39.6685,-75.5692,,,,,,
University of Pittsburgh--Pittsburgh Campus,,,,,,,40.4444,-79.9608,,,,,,
Elon University,,,,,,,36.102,-79.5035,,,,,,
Gonzaga University,,,,,,,47.6675,-117.4023,,,,,,
Santa Clara University,,,,,,,37.3496,-121.939,,,,,,
