University,Univ_Rank,Enrollment,Avg_SAT,Avg_ACT,city,state,Latitude,Longitude,univ_rank,enrollment,avg_sat,avg_act,latitude,longitude
Brigham Young University--Provo,61.0,30979.0,1160.0,27.0,Provo,UT,40.2457,-111.6457,,,,,,
Fordham University,61.0,9258.0,1170.0,27.0,New York,NY,40.6943,-73.9249,,,,,,
Southern Methodist University,61.0,6521.0,1220.0,28.0,Dallas,TX,32.7936,-96.7662,,,,,,
Syracuse University,61.0,15218.0,1090.0,25.0,Syracuse,NY,43.0409,-76.1438,,,,,,
University of Maryland--College Park,61.0,28472.0,1210.0,28.0,College Park,MD,38.996,-76.9337,,,,,,
Worcester Polytechnic Institute,61.0,4432.0,1200.0,28.0,Worcester,MA,42.2705,-71.8079,,,,,,
Clemson University,67.0,18599.0,1150.0,26.0,Clemson,SC,34.6837,-82.8124,,,,,,
University of Pittsburgh,68.0,19123.0,1190.0,27.0,Pittsburgh,PA,40.4396,-79.9762,,,,,,
American University,69.0,7901.0,1150.0,26.0,Washington,DC,38.9047,-77.0163,,,,,,
Rutgers University--New Brunswick,69.0,36168.0,1110.0,,Piscataway,NJ,40.5004,-74.4474,,,,,,
Stevens Institute of Technology,69.0,3021.0,1260.0,29.0,Hoboken,NJ,40.7453,-74.0279,,,,,,
Texas A M University,69.0,50735.0,1070.0,24.0,College Station,TX,30.5852,-96.296,,,,,,
University of Minnesota--Twin Cities,69.0,34871.0,1180.0,26.0,Minneapolis,MN,44.9635,-93.2678,,,,,,
Virginia Tech,69.0,25791.0,1100.0,,Blacksburg,VA,37.23,-80.4279,,,,,,
Baylor University,75.0,14348.0,1120.0,26.0,Waco,TX,31.5598,-97.1881,,,,,,
Colorado School of Mines,75.0,4612.0,1250.0,29.0,Golden,CO,39.7406,-105.2118,,,,,,
University of Massachusetts--Amherst,75.0,23373.0,1130.0,25.0,Amherst,MA,42.3645,-72.5069,,,,,,
Miami University--Oxford,78.0,16981.0,1130.0,26.0,Oxford,OH,39.5061,-84.7434,,,,,,
