affiliation.id,affiliation.name,affiliation.photoUrl
0,College of William Mary,https://www.wm.edu/img/wm_vertical_single_line_full_color.png
1,University of Rochester,https://d2jyir0m79gs60.cloudfront.net/college/logos/University_of_Rochester.png
2,Emory University,https://communications.emory.edu/_includes/images/sections/branding-identity/horizontal-logo.png
3,University of California--Berkeley,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/1200px-Seal_of_University_of_California%2C_Berkeley.svg.png
4,Carnegie Mellon University,https://www.cmu.edu/brand/brand-guidelines/images/wm-1in-600x600-min.jpg
5,Harvard University,http://assets.stickpng.com/images/5842f68fa6515b1e0ad75b22.png
6,Northwestern University,https://www.northwestern.edu/brand/images/nu-horizontal.jpg
7,Cornell University,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cornell_University_seal.svg/1024px-Cornell_University_seal.svg.png
8,Case Western Reserve University,https://case.edu/umc/sites/case.edu.umc/files/2018-03/formalLogo560x285.jpg
9,Yale University,https://kclsed.org/wp-content/uploads/2020/02/yale-university-logo-png-2.png
10,Johns Hopkins University,https://brand.jhu.edu/assets/uploads/sites/5/2014/06/university_logo_small_vertical_blue.png
11,University of California--Los Angeles,https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_California%2C_Los_Angeles_logo.png
12,University of illinois at Urbana Champaign,https://www.bestcollegesonline.org/wp-content/uploads/2019/10/university-of-illinois-at-urbana-champaign.png
13,University of Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/University_of_Florida_Vertical_Signature.svg/1200px-University_of_Florida_Vertical_Signature.svg.png
14,Wake Forest University,https://prod.wp.cdn.aws.wfu.edu/sites/73/2017/04/WFU_Univ_V_RGB.jpg
15,University of California--San Diego,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png
16,University of California--Irvine,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_California%2C_Irvine_seal.svg/1200px-University_of_California%2C_Irvine_seal.svg.png
17,Boston University,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Boston_University_wordmark.svg/1200px-Boston_University_wordmark.svg.png
18,New York University,https://download.logo.wine/logo/New_York_University/New_York_University-Logo.wine.png
19,Lehigh University,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/LUwithShield-CMYK.svg/1200px-LUwithShield-CMYK.svg.png
20,Georgetown University,https://www.georgetown.edu/wp-content/uploads/2019/10/Georgetown_logo_blueRGB-300x210.jpg
21,University of Southern California,https://identity.usc.edu/files/2019/01/PrimShield-Word_SmallUse_CardOnTrans.png
22,Tufts University,https://upload.wikimedia.org/wikipedia/commons/6/6f/Tufts_University_logo.png
23,University of Notre Dame,https://seekvectorlogo.com/wp-content/uploads/2019/08/university-of-notre-dame-vector-logo.png
24,University of Wisconsin--Madison,https://brand.wisc.edu/content/uploads/2016/11/readability-01.jpg
